JAMES,SMITH,20440
WILLIAM,SMITH,20251
MARY,SMITH,18499
JOHN,SMITH,17607
ROBERT,SMITH,15907
JAMES,WILLIAMS,13191
JAMES,JOHNSON,13128
WILLIAM,JOHNSON,12748
CHARLES,SMITH,12565
JAMES,BROWN,12351
JOHN,JOHNSON,12113
MARY,JOHNSON,12005
JOHN,WILLIAMS,11851
WILLIAM,BROWN,11724
WILLIAM,JONES,11597
ROBERT,JOHNSON,11414
GEORGE,SMITH,10773
JAMES,JONES,10518
MARY,WILLIAMS,10486
MARY,BROWN,10285
JOHN,MILLER,10116
MARY,JONES,9854
WILLIAM,MILLER,9840
JOHN,JONES,9708
JOHN,BROWN,9504
ROBERT,WILLIAMS,9502
ROBERT,JONES,9356
JAMES,DAVIS,9336
ROBERT,BROWN,9135
WILLIAM,DAVIS,8876
MARY,MILLER,8719
JOHN,DAVIS,8499
ROBERT,MILLER,7948
MARY,DAVIS,7884
CHARLES,JOHNSON,7866
JAMES,WILSON,7857
JAMES,MILLER,7291
HELEN,SMITH,7123
JAMES,MOORE,7086
JAMES,TAYLOR,6977
JOHN,ANDERSON,6957
CHARLES,BROWN,6936
WILLIAM,WILSON,6894
JOHN,WILSON,6885
MARGARET,SMITH,6881
GEORGE,JOHNSON,6853
CHARLES,MILLER,6836
CHARLES,WILLIAMS,6650
WILLIAM,TAYLOR,6605
DOROTHY,SMITH,6564
WILLIAM,MOORE,6506
ROBERT,DAVIS,6468
JOHN,MOORE,6327
JOHN,MARTIN,6314
THOMAS,SMITH,6281
GEORGE,BROWN,6265
JAMES,WHITE,6171
CHARLES,JONES,6108
WILLIAM,MARTIN,6009
JAMES,THOMPSON,6007
GEORGE,WILLIAMS,6003
MARY,WILSON,5985
JOSEPH,SMITH,5975
ROBERT,WILSON,5918
JOHN,TAYLOR,5914
JOHN,THOMAS,5906
GEORGE,MILLER,5898
JAMES,MARTIN,5892
JAMES,THOMAS,5886
WILLIE,WILLIAMS,5867
RUTH,SMITH,5858
WILLIAM,WHITE,5856
WILLIAM,THOMPSON,5834
WILLIAM,THOMAS,5827
JAMES,JACKSON,5785
EDWARD,SMITH,5753
WILLIAM,ANDERSON,5739
RICHARD,SMITH,5687
WILLIAM,WILLIAMS,5686
MARY,MOORE,5653
MARY,MARTIN,5558
JAMES,HARRIS,5555
ROBERT,ANDERSON,5499
JOHN,WHITE,5498
WALTER,SMITH,5440
ROBERT,TAYLOR,5434
JOHN,THOMPSON,5407
FRANK,SMITH,5370
JOHN,MURPHY,5367
MARY,TAYLOR,5345
WILLIE,SMITH,5333
JAMES,ANDERSON,5256
JAMES,CLARK,5200
MARY,ANDERSON,5190
MARY,THOMAS,5156
MARY,WHITE,5146
WILLIAM,CLARK,5121
CARL,JOHNSON,5105
CHARLES,DAVIS,5090
WILLIAM,HARRIS,5066
